pop,stage,time,thresh,est,SE,lcl,ucl
Black,glochidia,12,LC05,1.29103,0.11769,1.04153,1.54053
Black,glochidia,12,LC50,2.93584,0.1449,2.62868,3.24301
Black,glochidia,24,LC05,1.777399,0.025766,1.722481,1.832318
Black,glochidia,24,LC50,2.476386,0.055021,2.359111,2.593661
Black,juvenile,96,LC05,5.678947,0.098969,5.475116,5.882777
Black,juvenile,96,LC50,6.285569,0.061521,6.158864,6.412274
Laredo,adult,96,LC50,5.72,0.117346939,5.49,5.95
Laredo,adult,10,LC50,4.78,0.030612245,4.72,4.84
LowerCanyons,adult,96,LC50,5.38,0.081632653,5.22,5.54
LowerCanyons,adult,10,LC50,4.52,0.140306122,4.24,4.79
