Segment ID,Station ID,Station Description,Start Date,Start Time,Start Depth,Submitting Entity,Collecting Entity,Monitoring Type,Parameter Name,Parameter Code,Value,RFA/Tag ID,Station Latitude,Station Longitude,Comments
2306,13107,TERLINGUA CREEK NR ABAJA,9/13/78,6:45,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,9,Z204073,29.197405,-103.606369,"PARTLY CLOUDY, WARM, LIGHT RAINSHOWER N"
2306,13107,TERLINGUA CREEK NR ABAJA,9/11/79,1:00,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,7,Z204074,29.197405,-103.606369,CLEAR AND CALM AR
2306,13107,TERLINGUA CREEK NR ABAJA,11/20/69,1:15,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,2050,Z204070,29.197405,-103.606369,
2306,13107,TERLINGUA CREEK NR ABAJA,6/8/76,6:00,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,10,Z204071,29.197405,-103.606369,CLEAR HOT
2306,13107,TERLINGUA CREEK NR ABAJA,6/27/77,3:00,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,11,Z204072,29.197405,-103.606369,SKIES CLEAR AND HOT
2306,13229,RIO GRANDE BELOW RIO CONCHOS ,12/5/79,5:20,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,224,Z211095,29.51898,-104.28659,"CLOUDY, COOL, CALM"
2306,13229,RIO GRANDE BELOW RIO CONCHOS ,1/9/80,2:00,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,DEFAULT CODE FOR UNKNOWN SOURCES,TYPE OF SAMPLING UNKNOWN - HISTORICAL DATA,CHLORIDE (MG/L AS CL),940,181,Z211096,29.51898,-104.28659,"CLEAR, WARM, CALM, WATER CLEAR"
2306,13229,RIO GRANDE BELOW RIO CONCHOS ,6/28/84,2:15,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,59,Z211156,29.51898,-104.28659,"WATER TURBID, BROWN, RECENT RAIN, FISHERMEN OBSERVEDOL"
2306,13225,RIO GRANDE AT FM 2627,4/30/86,12:00,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,302,Z210728,29.447779,-102.825836,
2306,13225,RIO GRANDE AT FM 2627,6/26/86,7:00,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,151,Z210729,29.447779,-102.825836,HEAVY RAINS AND FLASHFLOODING
