date,time,specific_cond_mS.cm,salinity_ppt
2020-08-12,16:45,1566.7,0.78335
2020-08-12,17:15,1567,0.7835
2020-08-12,17:45,1566.4,0.7832
2020-08-12,18:15,1567.1,0.78355
2020-08-12,18:45,1568,0.784
2020-08-12,19:15,1568,0.784
2020-08-12,19:45,1568,0.784
2020-08-12,20:15,1568.1,0.78405
2020-08-12,20:45,1568.9,0.78445
2020-08-12,21:15,1568.6,0.7843
2020-08-12,21:45,1569.1,0.78455
2020-08-12,22:15,1568.7,0.78435
2020-08-12,22:45,1569.1,0.78455
2020-08-12,23:15,1568.9,0.78445
2020-08-12,23:45,1568.1,0.78405
2020-08-13,0:15,1568.3,0.78415
2020-08-13,0:45,1566.9,0.78345
2020-08-13,1:15,1567.9,0.78395
2020-08-13,1:45,1566.2,0.7831
2020-08-13,2:15,1565.8,0.7829
2020-08-13,2:45,1564.2,0.7821
2020-08-13,3:15,1563.5,0.78175
2020-08-13,3:45,1563.3,0.78165
2020-08-13,4:15,1563.2,0.7816
2020-08-13,4:45,1563,0.7815
2020-08-13,5:15,1562.5,0.78125
2020-08-13,5:45,1562.4,0.7812
2020-08-13,6:15,1561.9,0.78095
2020-08-13,6:45,1561.5,0.78075
2020-08-13,7:15,1560.3,0.78015
2020-08-13,7:45,1559.1,0.77955
2020-08-13,8:15,1558.1,0.77905
2020-08-13,8:45,1556.4,0.7782
2020-08-13,9:15,1554.6,0.7773
2020-08-13,9:45,1551.6,0.7758
2020-08-13,10:15,1549.7,0.77485
2020-08-13,10:45,1547.1,0.77355
2020-08-13,11:15,1546.2,0.7731
2020-08-13,11:45,1545.1,0.77255
2020-08-13,12:15,1542.8,0.7714
2020-08-13,12:45,1541.7,0.77085
2020-08-13,13:15,1537.8,0.7689
2020-08-13,13:45,1536.8,0.7684
2020-08-13,14:15,1535.9,0.76795
2020-08-13,14:45,1535,0.7675
2020-08-13,15:15,1535.3,0.76765
2020-08-13,15:45,1534.9,0.76745
2020-08-13,16:15,1534.5,0.76725
2020-08-13,16:45,1534.8,0.7674
2020-08-13,17:15,1535.4,0.7677
2020-08-13,17:45,1536.1,0.76805
2020-08-13,18:15,1537.1,0.76855
2020-08-13,18:45,1537.8,0.7689
2020-08-13,19:15,1538.6,0.7693
2020-08-13,19:45,1539.2,0.7696
2020-08-13,20:15,1539.2,0.7696
2020-08-13,20:45,1539.2,0.7696
2020-08-13,21:15,1540,0.77
2020-08-13,21:45,1540.6,0.7703
2020-08-13,22:15,1540.6,0.7703
2020-08-13,22:45,1541.7,0.77085
2020-08-13,23:15,1541.9,0.77095
2020-08-13,23:45,1542,0.771
2020-08-14,0:15,1542.5,0.77125
2020-08-14,0:45,1541.5,0.77075
2020-08-14,1:15,1541.7,0.77085
2020-08-14,1:45,1541.4,0.7707
2020-08-14,2:15,1541.2,0.7706
2020-08-14,2:45,1540.8,0.7704
2020-08-14,3:15,1540.3,0.77015
